,Member Name,Birth-Death,Position,Party,State,Election_year
311,"KING, Angus Stanley, Jr.",1944- ,Senator,Independent,ME,2016.0
312,,,,,,
313,"KIRK, Mark Steven",1959- ,Senator,Republican,IL,2016.0
314,,,,,,
315,"KLOBUCHAR, Amy",1960- ,Senator,Democrat,MN,2016.0
316,,,,,,
317,"LANKFORD, James",1968- ,Senator,Republican,OK,2016.0
318,,,,,,
319,"LEAHY, Patrick Joseph",1940- ,Senator,Democrat,VT,2016.0
320,,,,,,
321,"LEE, Mike",1971- ,Senator,Republican,UT,2016.0
322,,,,,,
323,"MANCHIN, Joe, III",1947- ,Senator,Democrat,WV,2016.0
324,,,,,,
325,"MARKEY, Edward John",1946- ,Senator,Democrat,MA,2016.0
326,,,,,,
327,"McCAIN, John Sidney, III",1936-2018,Senator,Republican,AZ,2016.0
328,,,,,,
329,"McCASKILL, Claire",1953- ,Senator,Democrat,MO,2016.0
330,,,,,,
331,"McCONNELL, Addison Mitchell (Mitch)",1942- ,Senator,Republican,KY,2016.0
332,,,,,,
333,"MENENDEZ, Robert",1954- ,Senator,Democrat,NJ,2016.0
334,,,,,,
335,"MERKLEY, Jeff",1956- ,Senator,Democrat,OR,2016.0
336,,,,,,
337,"MIKULSKI, Barbara Ann",1936- ,Senator,Democrat,MD,2016.0
338,,,,,,
339,"MORAN, Jerry",1954- ,Senator,Republican,KS,2016.0
340,,,,,,
341,"MURKOWSKI, Lisa",1957- ,Senator,Republican,AK,2016.0
342,,,,,,
343,"MURPHY, Christopher",1973- ,Senator,Democrat,CT,2016.0
344,,,,,,
345,"MURRAY, Patty",1950- ,Senator,Democrat,WA,2016.0
346,,,,,,
347,"NELSON, Clarence William (Bill)",1942- ,Senator,Democrat,FL,2016.0
348,,,,,,
349,"PAUL, Rand",1963- ,Senator,Republican,KY,2016.0
350,,,,,,
351,"PERDUE, David Alfred, Jr.",1949- ,Senator,Republican,GA,2016.0
352,,,,,,
353,"PETERS, Gary C.",1958- ,Senator,Democrat,MI,2016.0
354,,,,,,
355,"PORTMAN, Robert Jones (Rob)",1955- ,Senator,Republican,OH,2016.0
356,,,,,,
357,"REED, John F. (Jack)",1949- ,Senator,Democrat,RI,2016.0
358,,,,,,
359,"REID, Harry",1939- ,Senator,Democrat,NV,2016.0
360,,,,,,
361,"RISCH, James",1943- ,Senator,Republican,ID,2016.0
362,,,,,,
363,"ROBERTS, Charles Patrick (Pat)",1936- ,Senator,Republican,KS,2016.0
364,,,,,,
365,"ROUNDS, Marion Michael (Mike)",1954- ,Senator,Republican,SD,2016.0
366,,,,,,
367,"RUBIO, Marco",1971- ,Senator,Republican,FL,2016.0
368,,,,,,
369,"SANDERS, Bernard",1941- ,Senator,Independent,VT,2016.0
370,,,,,,
371,"SASSE, Benjamin Eric",1972- ,Senator,Republican,NE,2016.0
372,,,,,,
373,"SCHATZ, Brian Emanuel",1972- ,Senator,Democrat,HI,2016.0
374,,,,,,
375,"SCHUMER, Charles Ellis (Chuck)",1950- ,Senator,Democrat,NY,2016.0
376,,,,,,
377,"SCOTT, Tim",1965- ,Senator,Republican,SC,2016.0
378,,,,,,
379,"SESSIONS, Jefferson Beauregard, III (Jeff)",1946- ,Senator,Republican,AL,2016.0
380,,,,,,
381,"SHAHEEN, Jeanne",1947- ,Senator,Democrat,NH,2016.0
382,,,,,,
383,"SHELBY, Richard C.",1934- ,Senator,Republican,AL,2016.0
384,,,,,,
385,"STABENOW, Deborah Ann",1950- ,Senator,Democrat,MI,2016.0
386,,,,,,
387,"SULLIVAN, Daniel Scott",1964- ,Senator,Republican,AK,2016.0
388,,,,,,
389,"TESTER, Jon",1956- ,Senator,Democrat,MT,2016.0
390,,,,,,
391,"THUNE, John",1961- ,Senator,Republican,SD,2016.0
392,,,,,,
393,"TILLIS, Thomas Roland (Thom)",1960- ,Senator,Republican,NC,2016.0
394,,,,,,
395,"TOOMEY, Patrick Joseph",1961- ,Senator,Republican,PA,2016.0
396,,,,,,
397,"UDALL, Thomas (Tom)",1948- ,Senator,Democrat,NM,2016.0
398,,,,,,
399,"VITTER, David",1961- ,Senator,Republican,LA,2016.0
400,,,,,,
401,"WARNER, Mark R.",1954- ,Senator,Democrat,VA,2016.0
402,,,,,,
403,"WARREN, Elizabeth",1949- ,Senator,Democrat,MA,2016.0
404,,,,,,
405,"WHITEHOUSE, Sheldon",1955- ,Senator,Democrat,RI,2016.0
406,,,,,,
407,"WICKER, Roger F.",1951- ,Senator,Republican,MS,2016.0
408,,,,,,
409,"WYDEN, Ronald Lee",1949- ,Senator,Democrat,OR,2016.0
410,,,,,,
411,"ALEXANDER, Lamar",1940- ,Senator,Republican,TN,2014.0
412,,,,,,
413,"AYOTTE, Kelly",1968- ,Senator,Republican,NH,2014.0
414,,,,,,
415,"BALDWIN, Tammy",1962- ,Senator,Democrat,WI,2014.0
416,,,,,,
417,"BARRASSO, John A.",1952- ,Senator,Republican,WY,2014.0
418,,,,,,
419,"BAUCUS, Max Sieben",1941- ,Senator,Democrat,MT,2014.0
420,,,,,,
421,"BEGICH, Mark",1962- ,Senator,Democrat,AK,2014.0
422,,,,,,
423,"BENNET, Michael F.",1964- ,Senator,Democrat,CO,2014.0
424,,,,,,
425,"BLUMENTHAL, Richard",1946- ,Senator,Democrat,CT,2014.0
426,,,,,,
427,"BLUNT, Roy",1950- ,Senator,Republican,MO,2014.0
428,,,,,,
429,"BOOKER, Cory Anthony",1969- ,Senator,Democrat,NJ,2014.0
430,,,,,,
431,"BOOZMAN, John",1950- ,Senator,Republican,AR,2014.0
432,,,,,,
433,"BOXER, Barbara",1940- ,Senator,Democrat,CA,2014.0
434,,,,,,
435,"BROWN, Sherrod",1952- ,Senator,Democrat,OH,2014.0
436,,,,,,
437,"BURR, Richard M.",1955- ,Senator,Republican,NC,2014.0
438,,,,,,
439,"CANTWELL, Maria E.",1958- ,Senator,Democrat,WA,2014.0
440,,,,,,
441,"CARDIN, Benjamin Louis",1943- ,Senator,Democrat,MD,2014.0
442,,,,,,
443,"CARPER, Thomas Richard",1947- ,Senator,Democrat,DE,2014.0
444,,,,,,
445,"CASEY, Robert P. (Bob), Jr.",1960- ,Senator,Democrat,PA,2014.0
446,,,,,,
447,"CHAMBLISS, Saxby",1943- ,Senator,Republican,GA,2014.0
448,,,,,,
449,"CHIESA, Jeffrey Scott",1965- ,Senator,Republican,NJ,2014.0
450,,,,,,
451,"COATS, Daniel Ray",1943- ,Senator,Republican,IN,2014.0
452,,,,,,
453,"COBURN, Thomas Allen",1948- ,Senator,Republican,OK,2014.0
454,,,,,,
455,"COCHRAN, William Thad",1937-2019,Senator,Republican,MS,2014.0
456,,,,,,
457,"COLLINS, Susan Margaret",1952- ,Senator,Republican,ME,2014.0
458,,,,,,
459,"COONS, Christopher A.",1963- ,Senator,Democrat,DE,2014.0
460,,,,,,
461,"CORKER, Robert (Bob)",1952- ,Senator,Republican,TN,2014.0
462,,,,,,
463,"CORNYN, John",1952- ,Senator,Republican,TX,2014.0
464,,,,,,
465,"COWAN, William (Mo)",1969- ,Senator,Democrat,MA,2014.0
466,,,,,,
467,"CRAPO, Michael Dean",1951- ,Senator,Republican,ID,2014.0
468,,,,,,
469,"CRUZ, Rafael Edward (Ted)",1970- ,Senator,Republican,TX,2014.0
470,,,,,,
471,"DONNELLY, Joe",1955- ,Senator,Democrat,IN,2014.0
472,,,,,,
473,"DURBIN, Richard Joseph",1944- ,Senator,Democrat,IL,2014.0
474,,,,,,
475,"ENZI, Michael B.",1944- ,Senator,Republican,WY,2014.0
476,,,,,,
477,"FEINSTEIN, Dianne",1933- ,Senator,Democrat,CA,2014.0
478,,,,,,
479,"FISCHER, Debra (Deb)",1951- ,Senator,Republican,NE,2014.0
480,,,,,,
481,"FLAKE, Jeff",1962- ,Senator,Republican,AZ,2014.0
482,,,,,,
483,"FRANKEN, Al",1951- ,Senator,Democrat,MN,2014.0
484,,,,,,
485,"GILLIBRAND, Kirsten",1966- ,Senator,Democrat,NY,2014.0
486,,,,,,
487,"GRAHAM, Lindsey O.",1955- ,Senator,Republican,SC,2014.0
488,,,,,,
489,"GRASSLEY, Charles Ernest",1933- ,Senator,Republican,IA,2014.0
490,,,,,,
491,"HAGAN, Kay",1953-2019,Senator,Democrat,NC,2014.0
492,,,,,,
493,"HARKIN, Thomas Richard (Tom)",1939- ,Senator,Democrat,IA,2014.0
494,,,,,,
495,"HATCH, Orrin Grant",1934- ,Senator,Republican,UT,2014.0
496,,,,,,
497,"HEINRICH, Martin",1971- ,Senator,Democrat,NM,2014.0
498,,,,,,
499,"HEITKAMP, Mary Kathryn (Heidi)",1955- ,Senator,Democrat,ND,2014.0
500,,,,,,
501,"HELLER, Dean",1960- ,Senator,Republican,NV,2014.0
502,,,,,,
503,"HIRONO, Mazie",1947- ,Senator,Democrat,HI,2014.0
504,,,,,,
505,"HOEVEN, John",1957- ,Senator,Republican,ND,2014.0
506,,,,,,
507,"INHOFE, James Mountain",1934- ,Senator,Republican,OK,2014.0
508,,,,,,
509,"ISAKSON, Johnny",1944- ,Senator,Republican,GA,2014.0
510,,,,,,
511,"JOHANNS, Mike",1950- ,Senator,Republican,NE,2014.0
512,,,,,,
513,"JOHNSON, Ron",1955- ,Senator,Republican,WI,2014.0
514,,,,,,
515,"JOHNSON, Timothy Peter (Tim)",1946- ,Senator,Democrat,SD,2014.0
516,,,,,,
517,"KAINE, Timothy Michael (Tim)",1958- ,Senator,Democrat,VA,2014.0
518,,,,,,
519,"KERRY, John Forbes",1943- ,Senator,Democrat,MA,2014.0
520,,,,,,
521,"KING, Angus Stanley, Jr.",1944- ,Senator,Independent,ME,2014.0
522,,,,,,
523,"KIRK, Mark Steven",1959- ,Senator,Republican,IL,2014.0
524,,,,,,
525,"KLOBUCHAR, Amy",1960- ,Senator,Democrat,MN,2014.0
526,,,,,,
527,"LANDRIEU, Mary L.",1955- ,Senator,Democrat,LA,2014.0
528,,,,,,
529,"LAUTENBERG, Frank Raleigh",1924-2013,Senator,Democrat,NJ,2014.0
530,,,,,,
531,"LEAHY, Patrick Joseph",1940- ,Senator,Democrat,VT,2014.0
532,,,,,,
533,"LEE, Mike",1971- ,Senator,Republican,UT,2014.0
534,,,,,,
535,"LEVIN, Carl",1934- ,Senator,Democrat,MI,2014.0
536,,,,,,
537,"MANCHIN, Joe, III",1947- ,Senator,Democrat,WV,2014.0
538,,,,,,
539,"MARKEY, Edward John",1946- ,Senator,Democrat,MA,2014.0
540,,,,,,
541,"McCAIN, John Sidney, III",1936-2018,Senator,Republican,AZ,2014.0
542,,,,,,
543,"McCASKILL, Claire",1953- ,Senator,Democrat,MO,2014.0
544,,,,,,
545,"McCONNELL, Addison Mitchell (Mitch)",1942- ,Senator,Republican,KY,2014.0
546,,,,,,
547,"MENENDEZ, Robert",1954- ,Senator,Democrat,NJ,2014.0
548,,,,,,
549,"MERKLEY, Jeff",1956- ,Senator,Democrat,OR,2014.0
550,,,,,,
551,"MIKULSKI, Barbara Ann",1936- ,Senator,Democrat,MD,2014.0
552,,,,,,
553,"MORAN, Jerry",1954- ,Senator,Republican,KS,2014.0
554,,,,,,
555,"MURKOWSKI, Lisa",1957- ,Senator,Republican,AK,2014.0
556,,,,,,
557,"MURPHY, Christopher",1973- ,Senator,Democrat,CT,2014.0
558,,,,,,
559,"MURRAY, Patty",1950- ,Senator,Democrat,WA,2014.0
560,,,,,,
561,"NELSON, Clarence William (Bill)",1942- ,Senator,Democrat,FL,2014.0
562,,,,,,
563,"PAUL, Rand",1963- ,Senator,Republican,KY,2014.0
564,,,,,,
565,"PORTMAN, Robert Jones (Rob)",1955- ,Senator,Republican,OH,2014.0
566,,,,,,
567,"PRYOR, Mark",1963- ,Senator,Democrat,AR,2014.0
568,,,,,,
569,"REED, John F. (Jack)",1949- ,Senator,Democrat,RI,2014.0
570,,,,,,
571,"REID, Harry",1939- ,Senator,Democrat,NV,2014.0
572,,,,,,
573,"RISCH, James",1943- ,Senator,Republican,ID,2014.0
574,,,,,,
575,"ROBERTS, Charles Patrick (Pat)",1936- ,Senator,Republican,KS,2014.0
576,,,,,,
577,"ROCKEFELLER, John Davison IV (Jay)",1937- ,Senator,Democrat,WV,2014.0
578,,,,,,
579,"RUBIO, Marco",1971- ,Senator,Republican,FL,2014.0
580,,,,,,
581,"SANDERS, Bernard",1941- ,Senator,Independent,VT,2014.0
582,,,,,,
583,"SCHATZ, Brian Emanuel",1972- ,Senator,Democrat,HI,2014.0
584,,,,,,
585,"SCHUMER, Charles Ellis (Chuck)",1950- ,Senator,Democrat,NY,2014.0
586,,,,,,
587,"SCOTT, Tim",1965- ,Senator,Republican,SC,2014.0
588,,,,,,
589,"SESSIONS, Jefferson Beauregard, III (Jeff)",1946- ,Senator,Republican,AL,2014.0
590,,,,,,
591,"SHAHEEN, Jeanne",1947- ,Senator,Democrat,NH,2014.0
592,,,,,,
593,"SHELBY, Richard C.",1934- ,Senator,Republican,AL,2014.0
594,,,,,,
595,"STABENOW, Deborah Ann",1950- ,Senator,Democrat,MI,2014.0
596,,,,,,
597,"TESTER, Jon",1956- ,Senator,Democrat,MT,2014.0
598,,,,,,
599,"THUNE, John",1961- ,Senator,Republican,SD,2014.0
600,,,,,,
601,"TOOMEY, Patrick Joseph",1961- ,Senator,Republican,PA,2014.0
602,,,,,,
603,"UDALL, Mark",1950- ,Senator,Democrat,CO,2014.0
604,,,,,,
605,"UDALL, Thomas (Tom)",1948- ,Senator,Democrat,NM,2014.0
606,,,,,,
607,"VITTER, David",1961- ,Senator,Republican,LA,2014.0
608,,,,,,
609,"WALSH, John E.",1960- ,Senator,Democrat,MT,2014.0
610,,,,,,
611,"WARNER, Mark R.",1954- ,Senator,Democrat,VA,2014.0
612,,,,,,
613,"WARREN, Elizabeth",1949- ,Senator,Democrat,MA,2014.0
614,,,,,,
615,"WHITEHOUSE, Sheldon",1955- ,Senator,Democrat,RI,2014.0
616,,,,,,
617,"WICKER, Roger F.",1951- ,Senator,Republican,MS,2014.0
618,,,,,,
619,"WYDEN, Ronald Lee",1949- ,Senator,Democrat,OR,2014.0
620,,,,,,
