district,partisan_lean_538
AK01,R+15.21
AL01,R+28.61
AL02,R+30.97
AL03,R+31.37
AL04,R+59.81
AL05,R+32.81
AL06,R+47.21
AL07,D+41.69
AR01,R+30
AR02,R+9.63
AR03,R+30.8
AR04,R+29.13
AZ01,R+5.56
AZ02,R+1.22
AZ03,D+24.11
AZ04,R+42.86
AZ05,R+27.79
AZ06,R+17.56
AZ07,D+43.88
AZ08,R+26.32
AZ09,D+8.38
CA01,R+22.53
CA02,D+40.5
CA03,D+8.17
CA04,R+19.9
CA05,D+40.03
CA06,D+39.5
CA07,D+4.97
CA08,R+18.67
CA09,D+14.33
CA10,R+0.77
CA11,D+41.1
CA12,D+71.57
CA13,D+75.93
CA14,D+52.03
CA15,D+39.23
CA16,D+16.83
CA17,D+47.1
CA18,D+44.6
CA19,D+45.2
CA20,D+42.4
CA21,D+10.07
CA22,R+15.3
CA23,R+27.1
CA24,D+13.17
CA25,R+0.1
CA26,D+14.07
CA27,D+30.3
CA28,D+43.83
CA29,D+55.47
CA30,D+36.03
CA31,D+15.63
CA32,D+32.87
CA33,D+31.5
CA34,D+67.6
CA35,D+35.5
CA36,D+2.97
CA37,D+70.83
CA38,D+33.07
CA39,D+0.53
CA40,D+63.97
CA41,D+23.03
CA42,R+17
CA43,D+56.5
CA44,D+66.87
CA45,R+4.3
CA46,D+30.03
CA47,D+24.6
CA48,R+6.73
CA49,R+1.13
CA50,R+21.57
CA51,D+42.2
CA52,D+13.17
CA53,D+27.63
CO01,D+40.37
CO02,D+16.77
CO03,R+13.56
CO04,R+25.39
CO05,R+26.49
CO06,D+4.07
CO07,D+9.37
CT01,D+20.56
CT02,D+2.29
CT03,D+15.02
CT04,D+14.96
CT05,D+1.39
DE01,D+13.66
FL01,R+43.9
FL02,R+38.84
FL03,R+20.47
FL04,R+34.67
FL05,D+21.43
FL06,R+18.1
FL07,R+0.04
FL08,R+23.54
FL09,D+7.76
FL10,D+20.46
FL11,R+32.9
FL12,R+19.8
FL13,D+0.8
FL14,D+12.7
FL15,R+13.44
FL16,R+14.9
FL17,R+28.47
FL18,R+12.27
FL19,R+26.9
FL20,D+58.3
FL21,D+15.26
FL22,D+10.06
FL23,D+20.3
FL24,D+64.03
FL25,R+9.3
FL26,D+9.8
FL27,D+10.4
GA01,R+20.37
GA02,D+8
GA03,R+37.7
GA04,D+45.66
GA05,D+65.43
GA06,R+14.5
GA07,R+17.24
GA08,R+33.04
GA09,R+63.94
GA10,R+31.47
GA11,R+34.2
GA12,R+20.47
GA13,D+36.93
GA14,R+56.97
HI01,D+35.57
HI02,D+36.37
IA01,D+0.74
IA02,D+0.14
IA03,R+2.42
IA04,R+22.46
ID01,R+39.58
ID02,R+29.95
IL01,D+51.63
IL02,D+56.06
IL03,D+10.7
IL04,D+63.26
IL05,D+38.53
IL06,R+2
IL07,D+73.33
IL08,D+16.03
IL09,D+36.77
IL10,D+21.13
IL11,D+17.47
IL12,R+13.27
IL13,R+7.7
IL14,R+9.87
IL15,R+44.67
IL16,R+17.97
IL17,D+1.26
IL18,R+29.9
IN01,D+14.48
IN02,R+21.99
IN03,R+34.12
IN04,R+32.59
IN05,R+15.32
IN06,R+36.42
IN07,D+22.54
IN08,R+30.59
IN09,R+25.29
KS01,R+46.55
KS02,R+19.05
KS03,R+4.75
KS04,R+29.02
KY01,R+39.53
KY02,R+31.76
KY03,D+18.54
KY04,R+29.23
KY05,R+54.43
KY06,R+10.5
LA01,R+41.19
LA02,D+54.08
LA03,R+35.19
LA04,R+20.96
LA05,R+25.89
LA06,R+32.42
MA01,D+27.23
MA02,D+22.96
MA03,D+23.9
MA04,D+24.96
MA05,D+43.3
MA06,D+19.06
MA07,D+73.96
MA08,D+26.53
MA09,D+14.8
MD01,R+30.39
MD02,D+21.88
MD03,D+24.44
MD04,D+53.68
MD05,D+28.81
MD06,D+10.44
MD07,D+51.28
MD08,D+27.84
ME01,D+14.87
ME02,R+6.13
MI01,R+18.64
MI02,R+17.71
MI03,R+10.38
MI04,R+20.88
MI05,D+8.59
MI06,R+7.74
MI07,R+14.04
MI08,R+7.18
MI09,D+8.62
MI10,R+27.01
MI11,R+6.41
MI12,D+26.99
MI13,D+62.42
MI14,D+59.72
MN01,R+10.99
MN02,R+2.29
MN03,D+5.01
MN04,D+28.08
MN05,D+51.78
MN06,R+23.65
MN07,R+25.32
MN08,R+10.09
MO01,D+55.63
MO02,R+15.61
MO03,R+38.14
MO04,R+35.77
MO05,D+11.99
MO06,R+31.81
MO07,R+46.41
MO08,R+51.07
MS01,R+29.99
MS02,D+30.44
MS03,R+22.99
MS04,R+39.29
MT01,R+17.95
NC01,D+35
NC02,R+12.7
NC03,R+23.66
NC04,D+34.8
NC05,R+18.43
NC06,R+16
NC07,R+18
NC08,R+15.4
NC09,R+13.56
NC10,R+24.4
NC11,R+28.26
NC12,D+36.87
NC13,R+10.5
ND01,R+33.68
NE01,R+19.83
NE02,R+3.9
NE03,R+50.8
NH01,R+4.37
NH02,D+1
NJ01,D+24.81
NJ02,R+2.32
NJ03,R+4.56
NJ04,R+14.99
NJ05,R+3.69
NJ06,D+16.44
NJ07,R+3.29
NJ08,D+53.34
NJ09,D+31.38
NJ10,D+71.78
NJ11,R+4.49
NJ12,D+31.54
NM01,D+14.53
NM02,R+10.77
NM03,D+14.63
NV01,D+25.27
NV02,R+16.03
NV03,R+5.53
NV04,D+1.7
NY01,R+10.44
NY02,R+7.01
NY03,D+2.52
NY04,D+8.49
NY05,D+73.42
NY06,D+31.86
NY07,D+74.62
NY08,D+71.39
NY09,D+67.49
NY10,D+53.46
NY11,R+7.51
NY12,D+62.59
NY13,D+85.52
NY14,D+56.99
NY15,D+88.09
NY16,D+48.72
NY17,D+16.16
NY18,R+2.24
NY19,R+4.88
NY20,D+13.39
NY21,R+9.64
NY22,R+12.88
NY23,R+12.68
NY24,D+5.29
NY25,D+14.99
NY26,D+20.52
NY27,R+22.88
OH01,R+9.42
OH02,R+17.38
OH03,D+36.22
OH04,R+30.05
OH05,R+22.98
OH06,R+35.55
OH07,R+25.95
OH08,R+34.48
OH09,D+24.05
OH10,R+8.48
OH11,D+61.42
OH12,R+14.02
OH13,D+10.52
OH14,R+11.75
OH15,R+15.12
OH16,R+16.85
OK01,R+28.1
OK02,R+43.7
OK03,R+49.5
OK04,R+34.76
OK05,R+13.5
OR01,D+18.35
OR02,R+21.45
OR03,D+45.28
OR04,R+0.32
OR05,D+1.32
PA01,R+0.68
PA02,D+47.99
PA03,D+81.42
PA04,D+14.76
PA05,D+25.49
PA06,D+4.72
PA07,D+0.52
PA08,R+4.98
PA09,R+30.54
PA10,R+10.68
PA11,R+27.24
PA12,R+35.04
PA13,R+44.51
PA14,R+27.78
PA15,R+40.38
PA16,R+17.48
PA17,R+5.78
PA18,D+25.22
RI01,D+34.62
RI02,D+18.12
SC01,R+18.95
SC02,R+22.55
SC03,R+39.72
SC04,R+29.99
SC05,R+20.35
SC06,D+34.41
SC07,R+20.15
SD01,R+30.6
TN01,R+57.66
TN02,R+39.72
TN03,R+36.86
TN04,R+42.19
TN05,D+12.68
TN06,R+49.79
TN07,R+41.12
TN08,R+38.79
TN09,D+53.64
TX01,R+51.65
TX02,R+20.98
TX03,R+25.18
TX04,R+57.81
TX05,R+34.65
TX06,R+19.58
TX07,R+11.85
TX08,R+56.65
TX09,D+54.15
TX10,R+18.51
TX11,R+64.68
TX12,R+37.51
TX13,R+68.25
TX14,R+25.48
TX15,D+10.75
TX16,D+31.35
TX17,R+24.91
TX18,D+49.75
TX19,R+54.55
TX20,D+18.52
TX21,R+19.65
TX22,R+19.41
TX23,R+4.28
TX24,R+17.28
TX25,R+22.98
TX26,R+35.65
TX27,R+28.85
TX28,D+14.72
TX29,D+35.75
TX30,D+54.85
TX31,R+21.25
TX32,R+9.58
TX33,D+42.09
TX34,D+16.15
TX35,D+26.19
TX36,R+52.71
UT01,R+40.52
UT02,R+25.58
UT03,R+38.85
UT04,R+20.12
VA01,R+16.99
VA02,R+7.79
VA03,D+28.48
VA04,D+16.91
VA05,R+14.35
VA06,R+27.72
VA07,R+12.59
VA08,D+42.58
VA09,R+41.82
VA10,D+1.55
VA11,D+30.25
VT01,D+24.2
WA01,D+10.67
WA02,D+18.01
WA03,R+9.29
WA04,R+26.26
WA05,R+15.79
WA06,D+9.37
WA07,D+63.17
WA08,R+1.26
WA09,D+40.57
WA10,D+8.87
WI01,R+11.49
WI02,D+33.91
WI03,R+2.56
WI04,D+48.74
WI05,R+24.49
WI06,R+16.93
WI07,R+17.86
WI08,R+16.19
WV01,R+30.43
WV02,R+25.39
WV03,R+37.33
WY01,R+48.35